Model,model,rmse,mae,directional_accuracy
LinearRegression,Linear Regression,2.0673765766595653,1.578432590041512,68.88
LSTM,LSTM,7.2361234248947675,5.971854299869171,52.13
RandomForest,RandomForest,10.599140553007398,8.051550124063438,63.9
XGBoost,XGBoost,11.012761699801299,8.554282574614218,67.22
